"","V1"
"inaug_HerbertHoover_1_2",15
"inaug_HerbertHoover_1_3",14
"inaug_HerbertHoover_1_4",15
"inaug_HerbertHoover_1_5",14
"inaug_HerbertHoover_1_6",11
"inaug_HerbertHoover_1_7",8
"inaug_HerbertHoover_1_8",8
"inaug_HerbertHoover_1_9",2
"inaug_HerbertHoover_1_10",2
"inaug_HerbertHoover_1_11",2
"inaug_HerbertHoover_1_12",3
"inaug_HerbertHoover_1_13",3
"inaug_HerbertHoover_1_14",10
"inaug_HerbertHoover_1_15",10
"inaug_HerbertHoover_1_16",10
"inaug_HerbertHoover_1_17",10
"inaug_HerbertHoover_1_18",10
"inaug_HerbertHoover_1_19",10
"inaug_HerbertHoover_1_20",11
"inaug_HerbertHoover_1_21",3
"inaug_HerbertHoover_1_22",1
"inaug_HerbertHoover_1_23",11
"inaug_HerbertHoover_1_24",11
"inaug_HerbertHoover_1_25",11
"inaug_HerbertHoover_1_26",11
"inaug_HerbertHoover_1_27",11
"inaug_HerbertHoover_1_28",11
"inaug_HerbertHoover_1_29",11
"inaug_HerbertHoover_1_30",11
"inaug_HerbertHoover_1_31",11
"inaug_HerbertHoover_1_32",11
"inaug_HerbertHoover_1_33",8
"inaug_HerbertHoover_1_34",11
"inaug_HerbertHoover_1_35",8
"inaug_HerbertHoover_1_36",12
"inaug_HerbertHoover_1_37",11
"inaug_HerbertHoover_1_38",11
"inaug_HerbertHoover_1_39",11
"inaug_HerbertHoover_1_40",11
"inaug_HerbertHoover_1_41",11
"inaug_HerbertHoover_1_42",11
"inaug_HerbertHoover_1_43",11
"inaug_HerbertHoover_1_44",11
"inaug_HerbertHoover_1_45",6
"inaug_HerbertHoover_1_46",8
"inaug_HerbertHoover_1_47",1
"inaug_HerbertHoover_1_48",11
"inaug_HerbertHoover_1_49",11
"inaug_HerbertHoover_1_50",11
"inaug_HerbertHoover_1_51",11
"inaug_HerbertHoover_1_52",11
"inaug_HerbertHoover_1_53",7
"inaug_HerbertHoover_1_54",7
"inaug_HerbertHoover_1_55",7
"inaug_HerbertHoover_1_56",11
"inaug_HerbertHoover_1_57",11
"inaug_HerbertHoover_1_58",11
"inaug_HerbertHoover_1_59",11
"inaug_HerbertHoover_1_60",1
"inaug_HerbertHoover_1_61",1
"inaug_HerbertHoover_1_62",1
"inaug_HerbertHoover_1_63",1
"inaug_HerbertHoover_1_64",1
"inaug_HerbertHoover_1_65",1
"inaug_HerbertHoover_1_66",1
